"job_company","industries"
"PT Artha Demo Engineering Consultant","Not Available"
"RGE","Wood & Paper Manufacturing"
"ELITE ASIA (SG) PTE. LTD.","Telecommunications"
"PT Petra Anugerah Sejahtera","Not Available"
"PT Rivindi Artha Mandiri","Not Available"
"PT. CARSURIN","Mining & Metals"
"PT Central Hydraulic Indonesia","Not Available"
"Cermati.com","Information Technology"
"Bureau Veritas","Management & Consulting"
"PT Panthera Biru Indonesia","Not Available"
"Boart Longyear","Mining & Metals"
"Rolls-Royce","Aerospace & Defense"
"Boston Consulting Group","Management & Consulting"
"PT Jasa Guna Cemerlang","Not Available"
"WeNetwork Asia","Not Available"
"Aden Services","Not Available"
"Revalue Nature","Not Available"
"PT. Rivindi Artha Mandiri","Not Available"
"Algoritma","Not Available"
"MyRepublic","Telecommunications"
"Nawakara Group","Not Available"
"PT. LIENETIC JAYA","Energy & Utilities"
"Compas.co.id","Not Available"
"ENI","Energy, Mining & Utilities"
"GE Healthcare","Healthcare"
"PT. MSBU Konsultan Indonesia","Information Technology Support Services"
"Informa Markets","Management & Consulting"
"ADHYA JAYA MAKAYASA a part of Trinusa Network","Energy, Mining & Utilities"
"PageExecutive","Human Resources & Staffing"
"Mubadala Energy","Not Available"
"Prohoc","Not Available"
"PT REKA ELANG INOVASI","Not Available"
"Star Energy (Kakap) LTD","Not Available"
"Weatherford","Energy, Mining & Utilities"
"Mitrais","Not Available"
"Orbit Future Academy","Education & Training Services"
"PT Bagas Bumi Persada","Not Available"
"PT. ANUGERAH MEKANIKA SUKSES ABADI","Metal & Mineral Manufacturing"
"PT. Depriwangga Engineering","Not Available"
"PT. INDAH JAYA TEXTILE INDUSTRY","Not Available"
"BowerGroupAsia","Management & Consulting"
"FrieslandCampina","Food & Beverage Manufacturing"
"PT Harmoni Energi Persada","Not Available"
"PT. eGenkit Teknik Solusi","Information Technology Support Services"
"Job Vortex","Not Available"
"Merah Cipta Media","Not Available"
"Schneider Electric","Energy, Mining & Utilities"
"Kompas Gramedia","Not Available"
"PT Gaharu Mineral Indonesia","Mining & Metals"
